  -5.4700  0.6490041-185  0.1153757E+02
  -5.4600  0.4035373-183  0.1163117E+02
  -5.4500  0.2459427-181  0.1172609E+02
  -5.4400  0.1469259-179  0.1182236E+02
  -5.4300  0.8603535-178  0.1192002E+02
  -5.4200  0.4938210-176  0.1201908E+02
  -5.4100  0.2778282-174  0.1211958E+02
  -5.4000  0.1532136-172  0.1222155E+02
  -5.3900  0.8281942-171  0.1232502E+02
  -5.3800  0.4388148-169  0.1243002E+02
  -5.3700  0.2279001-167  0.1253660E+02
  -5.3600  0.1160171-165  0.1264477E+02
  -5.3500  0.5789129-164  0.1275458E+02
  -5.3400  0.2831514-162  0.1286607E+02
  -5.3300  0.1357496-160  0.1297927E+02
  -5.3200  0.6379288-159  0.1309421E+02
  -5.3100  0.2938462-157  0.1321095E+02
  -5.3000  0.1326728-155  0.1332952E+02
  -5.2900  0.5871622-154  0.1344997E+02
  -5.2800  0.2547114-152  0.1357233E+02
  -5.2700  0.1083060-150  0.1369666E+02
  -5.2600  0.4514098-149  0.1382299E+02
  -5.2500  0.1844181-147  0.1395139E+02
  -5.2400  0.7384995-146  0.1408189E+02
  -5.2300  0.2898751-144  0.1421455E+02
  -5.2200  0.1115285-142  0.1434942E+02
  -5.2100  0.4206053-141  0.1448655E+02
  -5.2000  0.1554812-139  0.1462601E+02
  -5.1900  0.5633717-138  0.1476785E+02
  -5.1800  0.2000904-136  0.1491213E+02
  -5.1700  0.6965812-135  0.1505891E+02
  -5.1600  0.2377011-133  0.1520826E+02
  -5.1500  0.7950692-132  0.1536024E+02
  -5.1400  0.2606710-130  0.1551492E+02
  -5.1300  0.8377115-129  0.1567238E+02
  -5.1200  0.2638824-127  0.1583269E+02
  -5.1100  0.8147803-126  0.1599592E+02
  -5.1000  0.2465953-124  0.1616215E+02
  -5.0900  0.7315483-123  0.1633147E+02
  -5.0800  0.2127235-121  0.1650395E+02
  -5.0700  0.6063200-120  0.1667970E+02
  -5.0600  0.1693958-118  0.1685879E+02
  -5.0500  0.4638924-117  0.1704133E+02
  -5.0400  0.1245220-115  0.1722741E+02
  -5.0300  0.3276341-114  0.1741714E+02
  -5.0200  0.8449795-113  0.1761062E+02
  -5.0100  0.2136079-111  0.1780795E+02
  -5.0000  0.5293009-110  0.1800927E+02
  -4.9900  0.1285589-108  0.1821468E+02
  -4.9800  0.3060663-107  0.1842431E+02
  -4.9700  0.7142383-106  0.1863828E+02
  -4.9600  0.1633747-104  0.1885674E+02
  -4.9500  0.3663032-103  0.1907982E+02
  -4.9400  0.8050274-102  0.1930767E+02
  -4.9300  0.1734182-100  0.1954044E+02
  -4.9200  0.3661785E-99  0.1977829E+02
  -4.9100  0.7578882E-98  0.2002138E+02
  -4.9000  0.1537558E-96  0.2026988E+02
  -4.8900  0.3057539E-95  0.2052398E+02
  -4.8800  0.5959731E-94  0.2078387E+02
  -4.8700  0.1138663E-92  0.2104973E+02
  -4.8600  0.2132447E-91  0.2132178E+02
  -4.8500  0.3914490E-90  0.2160022E+02
  -4.8400  0.7043463E-89  0.2188529E+02
  -4.8300  0.1242257E-87  0.2217723E+02
  -4.8200  0.2147586E-86  0.2247626E+02
  -4.8100  0.3639184E-85  0.2278266E+02
  -4.8000  0.6044655E-84  0.2309670E+02
  -4.7900  0.9841315E-83  0.2341866E+02
  -4.7800  0.1570539E-81  0.2374884E+02
  -4.7700  0.2456737E-80  0.2408754E+02
  -4.7600  0.3766887E-79  0.2443511E+02
  -4.7500  0.5661359E-78  0.2479189E+02
  -4.7400  0.8340130E-77  0.2515825E+02
  -4.7300  0.1204312E-75  0.2553456E+02
  -4.7200  0.1704588E-74  0.2592123E+02
  -4.7100  0.2364906E-73  0.2631870E+02
  -4.7000  0.3216048E-72  0.2672741E+02
  -4.6900  0.4286919E-71  0.2714783E+02
  -4.6800  0.5601213E-70  0.2758048E+02
  -4.6700  0.7173531E-69  0.2802587E+02
  -4.6600  0.9005297E-68  0.2848459E+02
  -4.6500  0.1108095E-66  0.2895722E+02
  -4.6400  0.1336505E-65  0.2944439E+02
  -4.6300  0.1580075E-64  0.2994678E+02
  -4.6200  0.1831046E-63  0.3046509E+02
  -4.6100  0.2079864E-62  0.3100010E+02
  -4.6000  0.2315712E-61  0.3155259E+02
  -4.5900  0.2527251E-60  0.3212344E+02
  -4.5800  0.2703500E-59  0.3271355E+02
  -4.5700  0.2834773E-58  0.3332389E+02
  -4.5600  0.2913564E-57  0.3395552E+02
  -4.5500  0.2935248E-56  0.3460954E+02
  -4.5400  0.2898539E-55  0.3528714E+02
  -4.5300  0.2805612E-54  0.3598961E+02
  -4.5200  0.2661890E-53  0.3671830E+02
  -4.5100  0.2475522E-52  0.3747469E+02
  -4.5000  0.2256616E-51  0.3826036E+02
  -4.4900  0.2016335E-50  0.3907701E+02
  -4.4800  0.1765963E-49  0.3992647E+02
  -4.4700  0.1516054E-48  0.4081072E+02
  -4.4600  0.1275739E-47  0.4173189E+02
  -4.4500  0.1052261E-46  0.4269231E+02
  -4.4400  0.8507439E-46  0.4369447E+02
  -4.4300  0.6741995E-45  0.4474109E+02
  -4.4200  0.5237115E-44  0.4583514E+02
  -4.4100  0.3987584E-43  0.4697984E+02
  -4.4000  0.2976061E-42  0.4817869E+02
  -4.3900  0.2177147E-41  0.4943553E+02
  -4.3800  0.1561162E-40  0.5075456E+02
  -4.3700  0.1097292E-39  0.5214038E+02
  -4.3600  0.7559804E-39  0.5359805E+02
  -4.3500  0.5105203E-38  0.5513312E+02
  -4.3400  0.3379322E-37  0.5675175E+02
  -4.3300  0.2192604E-36  0.5846070E+02
  -4.3200  0.1394457E-35  0.6026748E+02
  -4.3100  0.8692885E-35  0.6218041E+02
  -4.3000  0.5311742E-34  0.6420877E+02
  -4.2900  0.3181442E-33  0.6636288E+02
  -4.2800  0.1867778E-32  0.6865428E+02
  -4.2700  0.1074832E-31  0.7109587E+02
  -4.2600  0.6062756E-31  0.7370217E+02
  -4.2500  0.3352075E-30  0.7648948E+02
  -4.2400  0.1816650E-29  0.7947620E+02
  -4.2300  0.9650351E-29  0.8268313E+02
  -4.2200  0.5024919E-28  0.8613382E+02
  -4.2100  0.2564655E-27  0.8985499E+02
  -4.2000  0.1283049E-26  0.9387705E+02
  -4.1900  0.6291749E-26  0.9823459E+02
  -4.1800  0.3024222E-25  0.1029671E+03
  -4.1700  0.1424853E-24  0.1081194E+03
  -4.1600  0.6580225E-24  0.1137430E+03
  -4.1500  0.2978690E-23  0.1198960E+03
  -4.1400  0.1321673E-22  0.1266445E+03
  -4.1300  0.5748269E-22  0.1340631E+03
